traditional
叭叭叭叭
嗒嗒嗒嗒
咕咕咕咕
呱呱呱呱
哈哈哈哈
花花花花
盧盧盧盧
噗噗噗噗
唦唦唦唦
通通通通
突突突突
哇哇哇哇
嘎嘎嘎嘎
嘰嘰嘰嘰
嘎兒嘎兒
呼兒呼兒
咴兒咴兒
唰兒唰兒
嗚兒嗚兒
吱兒吱兒
吧兒吧兒
哼兒哈兒
颼兒颼兒
嗡兒嗡兒
絲捧絲捧
忒兒嘍嘍
一留兀淥
叭吧叭吧
吧嗒吧嗒
吧唧吧唧
叭啦叭啦
吧咂吧咂
畢畢剝剝
嗶嗶卟卟
必必剝剝
啵哆啵哆
噌噌沙沙
琤琤琮琮
哧唿哧唿
哧啦哧啦
鏦鏦錚錚
淙淙潺潺
琮琮玲玲
噹啷噹啷
滴嗒滴嗒
滴滴答答
滴滴嗒嗒
滴滴鈴鈴
滴滴淅淅
滴咚滴咚
滴里瓜拉
嘀嘀吧吧
嘀嘀嗒嗒
嘀嘀咕咕
的嗒的嗒
丁當丁當
丁零當啷
丁零丁零
叮硼叮硼
叮當叮當
叮叮當當
叮叮噹噹
叮叮咚咚
叮咚玲咚
叮鈴噹啷
叮鈴叮鈴
玎玲玎玲
釘噹釘噹
咚咚鏘鏘
嗯嗯啊啊
恩恩烏烏
咈哧咈哧
嘎吧嘎吧
嘎叭嘎叭
嘎崩嘎崩
嘎啷嘎啷
嘎吱嘎吱
咯叭咯叭
咯嘣咯嘣
咯噔咯噔
咯咚咯咚
咯咯嗒嗒
咯咯噠噠
咯啦咯啦
咯㘕咯㘕
咯吱咯吱
格拉格拉
哽吱哽吱
咕啊嘎啊
咕啊呱啊
咕噠咕噠
咕噔咕噔
咕冬咕冬
咕啷咕啷
咕咕隆隆
咕咕嚕嚕
咕哩咕咚
咕隆咕隆
咕嚕咕嚕
咕哇咕哇
孤咕孤咕
骨嘟骨嘟
骨魯骨魯
嗗碌嗗碌
呱噠呱噠
呱唧呱唧
呱啦呱啦
呱呀呱呀
咣噹咣噹
哈哧哈哧
嗬囉嗬囉
嘿兒嘿兒
哼哧哼哧
哼嗐哼嗐
哼哼哧哧
哼哼哈哈
哼哼呵呵
哼哼唧唧
轟轟隆隆
轟隆轟隆
呼哧呼哧
呼吃呼吃
呼啦呼啦
呼嚕呼嚕
呼碌呼碌
忽搭忽搭
忽隆忽隆
花啦花啦
嘩嘩啦啦
嘩啷嘩啷
嘩哩嘩啦
豁啷豁啷
唧咕唧咕
唧唧嘎嘎
唧唧呱呱
唧唧啾啾
唧唧噥噥
唧唧鴨鴨
唧唧喳喳
嘰嘰嘎嘎
嘰嘰咕咕
嘰嘰呱呱
嘰嘰喳喳
嘰啾嘰啾
嘰哩咕嚕
嘰哩呱啦
嘰哩咕㖨
嘰喳嘰喳
咭咭嘎嘎
咭咭呱呱
咭咭呷呷
咭咭吱吱
