simp,freq,famsize,semrad,semfreq,semfamsize,phon,phonfreq,phonfam
鳌,0.8444,1,鱼,641.842,32,敖,146.3012,7
釜,1.8963,2,金,780.7111,4,父,293.4123,3
牒,0.4988,1,片,2075.0123,5,枼,101.5259,5
驷,0.158,1,马,1869.2049,34,四,0.158,1
碗,66.1926,10,石,1850.5235,61,宛,93.8568,7
犒,2.8593,2,牜,687.0074,8,高,436.5284,7
躺,70.6963,3,身,1313.5951,5,尚,1084.9827,12
裘,1.684,1,衣,2158.1333,18,求,630.6815,3
携,23.5457,5,扌,19245.0025,233,隽,23.9605,2
绦,0.1432,1,纟,11417.6494,100,条,3.2099,2
骡,1.9802,1,马,1869.2049,34,累,20.6074,3
诲,1.1407,1,讠,19842.7358,108,每,924.2519,10
酝,3.3383,1,酉,1758.6815,30,云,907.0519,6
悃,0.1333,0,忄,9431.3086,100,困,5.1556,2
阀,1.8963,5,门,3881.6296,28,伐,2.4691,2
筐,2.0049,2,⺮,5914.6074,56,匡,21.6247,5
飓,2.963,1,风,763.8025,7,具,85.8519,3
腴,0.3259,1,月,21151.9802,115,臾,1.284,3
踢,34.4889,5,足,2994.2815,62,易,93.0173,7
畴,1.1901,1,田,4157.0321,22,寿,105.7778,6
梧,4.5136,2,木,23327.0765,210,吾,312.1975,10
槽,32.2914,6,木,23327.0765,210,曹,249.437,5
鹦,2.716,3,鸟,608.1975,42,婴,32.6469,5
娩,2.0148,1,女,18584.642,96,免,1676.479,5
戮,9.9457,2,戈,29970.7358,17,翏,26.3407,5
茏,0.2173,1,艹,9164.7556,191,龙,231.2296,13
蝌,0.7605,1,虫,1653.4963,97,科,0.7605,1
蚪,0.7407,1,虫,1653.4963,97,斗,29.1753,2
忪,0.8099,1,忄,9431.3086,100,公,230.6469,6
锭,0.3556,1,钅,3731.8272,120,定,36.1086,6
媛,5.3877,1,女,18584.642,96,爰,353.6395,4
晏,1.5506,0,日,29708.8296,72,安,433.4617,8
炽,2.3654,3,火,3108.6963,70,只,296.1877,5
猢,0.0444,1,犭,1997.2346,39,胡,232.5827,8
狲,0.0593,1,犭,1997.2346,39,孙,22.5086,2
葡,30.8741,8,艹,9164.7556,191,匍,30.8741,1
萄,29.4469,8,艹,9164.7556,191,匋,193.4222,5
竺,1.042,3,⺮,5914.6074,56,⺮,2.8889,2
胰,1.9556,4,月,21151.9802,115,夷,85.6691,4
崖,49.7827,4,山,1569.0568,42,厓,88.2765,3
庵,1.2889,1,广,5275.8617,28,奄,110.321,8
膳,3.6198,3,月,21151.9802,115,善,5.1852,3
赂,3.2099,1,贝,3940.7309,52,各,2410.8593,18
嘹,0.5827,1,口,50016.563,297,尞,14.1679,8
瑚,4.1531,4,王,7173.763,52,胡,232.5827,8
讼,4.8691,3,讠,19842.7358,108,公,230.6469,6
枸,4.7309,1,木,23327.0765,210,句,627.0963,7
杞,5.521,2,木,23327.0765,210,己,4675.2,6
蜻,1.2296,2,虫,1653.4963,97,青,4527.8222,13
蜓,1.2988,2,虫,1653.4963,97,廷,339.1457,6
鹳,0.1778,1,鸟,608.1975,42,雚,54.1531,4
喀,3.4025,2,口,50016.563,297,客,79.363,2
缪,2.5235,2,纟,11417.6494,100,翏,26.3407,5
狰,0.8593,1,犬,278.0642,7,争,446.9975,8
每,964.1481,3,母,1365.7877,3,母,1050.7407,4
玫,34.8494,5,王,7173.763,52,文,147.5654,10
旭,6.8691,1,日,29708.8296,72,九,150.3062,4
伺,5.5309,4,亻,51543.5654,164,司,138.9037,5
祉,0.4938,1,礻,4131.121,25,止,610.1383,6
犄,0.4049,1,牜,687.0074,8,奇,155.7136,10
爹,90.3506,8,父,1078.5284,4,多,214.9185,4
睇,65.916,0,目,12024.3309,58,弟,179.6148,9
擦,121.3926,17,扌,19245.0025,233,察,125.2494,3
搪,0.8,2,扌,19245.0025,233,唐,156.721,4
撅,1.3235,0,扌,19245.0025,233,厥,3.2444,5
煦,0.879,2,灬,6163.1901,20,昫,0.879,1
槁,0.1185,1,木,23327.0765,210,高,436.5284,7
蛹,0.6469,1,虫,1653.4963,97,甬,1245.5753,11
佗,0.3704,0,亻,51543.5654,164,它,71.8667,10
赭,0.0741,1,赤,80.7802,4,者,4725.4617,16
泅,0.158,0,氵,19088.7556,238,囚,0.158,1
讥,1.2198,3,讠,19842.7358,108,几,1575.4617,7
辗,6.9383,1,车,3498.0049,32,展,10.1432,2
弑,0.3309,2,弋,461.684,3,式,1138.0148,3
倦,21.1111,7,亻,51543.5654,164,卷,224.7605,7
蜿,0.7753,1,虫,1653.4963,97,宛,93.8568,7
蜒,0.7309,1,虫,1653.4963,97,延,98.9728,4
褡,0.0691,1,衤,1737.6593,32,荅,240.237,5
裢,0.0444,1,衤,1737.6593,32,连,123.6247,4
蜍,0.4691,1,虫,1653.4963,97,余,522.6765,8
橇,1.5852,1,木,23327.0765,210,毳,4.5086,2
铆,1.7235,1,钅,3731.8272,120,卯,413.6247,4
鼬,1.1901,0,鼠,69.3037,4,由,930.6568,14
蛔,0.4691,1,虫,1653.4963,97,回,9.5852,3
哝,0.8395,2,口,50016.563,297,农,64.084,4
猬,2.9877,1,犭,1997.2346,39,胃,93.0864,3
陛,6.3654,1,阝,12852.079,66,坒,6.3654,1
铝,4.1185,4,钅,3731.8272,120,吕,53.0074,3
嗑,5.8173,0,口,50016.563,297,盍,23.7333,3
皎,0.8049,1,白,33709.0272,11,交,676.4988,16
俏,17.521,5,亻,51543.5654,164,肖,786.0395,16
帜,2.4198,2,巾,5269.7481,32,只,296.1877,5
泯,1.758,2,氵,19088.7556,238,民,214.8938,5
肽,1.1358,0,月,21151.9802,115,太,504.879,5
鳅,0.3951,1,鱼,641.842,32,秋,60.1136,6
蔬,25.7333,1,艹,9164.7556,191,疏,25.7333,1
佻,0.30620000000000003,1,亻,51543.5654,164,兆,668.963,8
癔,0.2074,1,疒,1856.2963,68,意,5.0864,4
镊,0.3506,1,钅,3731.8272,120,聂,98.484,5
捂,13.3778,1,扌,19245.0025,233,吾,312.1975,10
邃,2.1037,1,辶,28384.0494,81,遂,8.9877,2
嚎,4.4741,4,口,50016.563,297,豪,5.1407,2
匾,0.2667,1,匸,604.4049,5,扁,479.8815,9
缮,0.3605,1,纟,11417.6494,100,善,5.1852,3
刨,2.2222,3,刂,10927.3679,39,包,982.5383,16
瓣,18.4247,6,瓜,145.5062,4,辡,46.8741,3
帼,1.9012,1,巾,5269.7481,32,国,2.884,3
蜇,0.9877,1,虫,1653.4963,97,折,105.763,4
扔,49.4568,2,扌,19245.0025,233,乃,370.158,3
埸,0.3654,0,土,17088.4346,84,易,93.0173,7
眶,6.2864,4,目,12024.3309,58,匡,21.6247,5
壕,0.6667,2,土,17088.4346,84,豪,5.1407,2
憔,5.8222,1,忄,9431.3086,100,焦,120.1877,6
腌,9.4025,1,月,21151.9802,115,奄,110.321,8
鳖,1.9309,1,鱼,641.842,32,敝,52.8494,7
罅,0.1333,1,缶,162.7259,7,虖,0.1333,1
潦,1.5111,2,氵,19088.7556,238,尞,14.1679,8
琳,29.0074,1,王,7173.763,52,林,154.4593,6
踉,0.321,2,足,2994.2815,62,良,1050.8198,11
跄,0.3259,2,足,2994.2815,62,仑,597.3037,8
瞠,0.5235,2,目,12024.3309,58,堂,142.0741,6
肄,0.084,2,聿,33.6988,4,聿,140.0543,3
咦,5.763,0,口,50016.563,297,夷,85.6691,4
芭,15.7877,5,艹,9164.7556,191,巴,5324.5086,12
拭,5.1802,2,扌,19245.0025,233,式,1138.0148,3
叁,1.3827,1,厶,4301.6099,4,三,6.479,2
舔,9.4716,0,舌,306.4889,4,忝,51.0123,2
沁,2.9728,1,氵,19088.7556,238,心,12.6716,2
呷,1.2593,0,口,50016.563,297,甲,81.916,8
祇,0.4,0,礻,4131.121,25,氏,188.4395,2
蝣,0.2025,1,虫,1653.4963,97,斿,645.6148,2
溢,26.1481,9,氵,19088.7556,238,益,29.5358,4
隧,6.884,2,阝,12852.079,66,遂,8.9877,2
嗝,4.8741,3,口,50016.563,297,鬲,85.2889,4
霖,12.4494,1,雨,2141.5901,24,林,154.4593,6
诋,2.0395,1,讠,19842.7358,108,氐,684.6815,9
揉,10.8889,2,扌,19245.0025,233,柔,12.9284,3
翘,11.9951,5,羽,547.4469,17,尧,310.7951,12
阑,3.0469,2,门,3881.6296,28,柬,144.5383,3
硅,3.1012,6,石,1850.5235,61,圭,976.8938,14
痪,3.6395,1,疒,1856.2963,68,奂,503.4765,5
诨,0.2272,2,讠,19842.7358,108,军,220.1235,8
浣,1.8025,1,氵,19088.7556,238,完,230.1481,4
胧,7.1259,1,月,21151.9802,115,龙,231.2296,13
饕,5.2741,1,食,717.1111,5,號,5.2741,1
痱,0.5284,2,疒,1856.2963,68,非,1368.5778,18
呻,2.5432,1,口,50016.563,297,申,1260.7654,8
侏,1.8667,1,亻,51543.5654,164,朱,142.1975,9
撂,1.3235,2,扌,19245.0025,233,畧,1.3235,1
踵,1.3383,3,足,2994.2815,62,重,182.8247,3
掴,0.3951,0,扌,19245.0025,233,国,2.884,3
葩,5.9457,1,艹,9164.7556,191,皅,5.9457,1
骏,4.7704,1,马,1869.2049,34,夋,167.7432,11
斐,2.884,2,文,706.3852,5,非,1368.5778,18
啕,0.9383,2,口,50016.563,297,匋,193.4222,5
鹕,0.0988,1,鸟,608.1975,42,胡,232.5827,8
嘣,1.7827,0,口,50016.563,297,崩,12.6173,3
谑,0.5136,1,讠,19842.7358,108,虐,0.5136,1
菊,37.0617,10,艹,9164.7556,191,匊,42.2617,3
薰,4.7358,2,艹,9164.7556,191,熏,18.7012,4
斋,9.7975,4,文,706.3852,5,而,9.837,2
撸,3.6,0,扌,19245.0025,233,鲁,20.6667,3
妲,0.8198,0,女,18584.642,96,旦,1634.7852,8
眯,5.6247,1,目,12024.3309,58,米,294.5136,5
瀚,2.1778,2,氵,19088.7556,238,翰,2.1778,1
劾,0.2963,1,力,6800.9383,25,亥,2016.8395,10
嗦,7.5506,4,口,50016.563,297,索,7.5506,1
狄,11.1111,0,犭,1997.2346,39,火,265.3926,2
蹙,0.2667,1,足,2994.2815,62,戚,0.5086,2
蹲,15.437,1,足,2994.2815,62,尊,34.8198,4
窿,1.5704,1,穴,1620.3358,24,隆,1.5704,1
廖,3.7926,0,广,5275.8617,28,翏,26.3407,5
聋,6.1284,7,耳,1412.4099,18,龙,231.2296,13
苇,1.6346,1,艹,9164.7556,191,韦,582.8593,7
捅,6.8642,1,扌,19245.0025,233,甬,1245.5753,11
芜,4.1136,2,艹,9164.7556,191,无,26.3506,3
俨,1.3679,1,亻,51543.5654,164,严,1.3679,1
枉,8.0148,4,木,23327.0765,210,王,274.8198,5
鲭,0.5284,0,鱼,641.842,32,青,4527.8222,13
垛,0.3259,2,土,17088.4346,84,朵,58.316,4
佯,0.8296,3,亻,51543.5654,164,羊,2463.358,12
氟,1.2691,1,气,1142.9185,14,弗,517.1704,7
挞,3.7086,1,扌,19245.0025,233,达,17.6741,3
谵,0.0198,1,讠,19842.7358,108,詹,7.2593,5
蹼,0.2667,1,足,2994.2815,62,菐,10.6864,3
盏,6.958,0,皿,839.1062,18,戋,1241.3728,10
琛,1.0272,0,王,7173.763,52,罙,481.0716,3
椭,0.6272,2,木,23327.0765,210,陏,12.5975,2
痊,3.3679,1,疒,1856.2963,68,全,14.5136,4
孀,0.5235,1,女,18584.642,96,霜,0.5235,1
孟,9.9753,2,子,6417.5605,26,皿,9.9753,1
蚯,0.9778,1,虫,1653.4963,97,丘,5.3778,2
蚓,0.9975,1,虫,1653.4963,97,引,0.9975,1
茵,3.1457,3,艹,9164.7556,191,因,434.2765,7
缚,7.6543,2,纟,11417.6494,100,尃,2305.4617,4
嶙,0.2716,2,山,1569.0568,42,粦,14.5037,5
峋,0.2617,2,山,1569.0568,42,旬,36.558,5
傀,0.958,2,亻,51543.5654,164,鬼,66.3901,5
儡,0.9333,2,亻,51543.5654,164,畾,0.9333,1
恪,0.7062,3,忄,9431.3086,100,各,2410.8593,18
奎,5.4469,1,大,16670.0889,29,圭,976.8938,14
啭,0.0642,1,口,50016.563,297,转,0.0642,1
袅,2.2123,0,衣,2158.1333,18,鸟,99.4963,2
柠,20.6914,7,木,23327.0765,210,宁,28.7605,5
钧,1.6198,1,钅,3731.8272,120,匀,68.7951,3
郭,33.7383,0,阝,12852.079,66,享,72.7605,6
胛,0.3802,2,月,21151.9802,115,甲,81.916,8
皲,0.3259,1,皮,343.7877,4,军,220.1235,8
坷,7.0173,2,土,17088.4346,84,可,1680.4889,10
捶,3.2346,3,扌,19245.0025,233,垂,15.6988,4
镂,2.3802,2,钅,3731.8272,120,娄,722.2716,13
虞,2.5481,1,虍,345.9309,7,吴,175.9802,5
噫,0.2222,0,口,50016.563,297,意,5.0864,4
嚄,0.1827,0,口,50016.563,297,蒦,0.5136,3
涧,0.9284,1,氵,19088.7556,238,间,251.4963,3
鼯,0.0247,1,鼠,69.3037,4,吾,312.1975,10
漩,1.7235,1,氵,19088.7556,238,旋,1.7235,1
嗯,207.3926,0,口,50016.563,297,恩,209.0173,2
涸,0.9531,1,氵,19088.7556,238,固,3.2099,2
靛,0.3506,2,青,610.6025,5,定,36.1086,6
沪,9.6049,0,氵,19088.7556,238,户,401.8272,9
铢,0.4741,2,钅,3731.8272,120,朱,142.1975,9
泓,0.6173,0,氵,19088.7556,238,弘,481.6049,2
盂,0.30620000000000003,2,皿,839.1062,18,于,74.7704,5
怖,47.7333,4,忄,9431.3086,100,布,47.7333,1
赝,0.6123,1,贝,3940.7309,52,雁,27.7481,2
麋,0.484,1,鹿,38.3309,7,米,294.5136,5
墟,2.9136,1,土,17088.4346,84,虚,22.8198,3
蟆,2.2617,2,虫,1653.4963,97,莫,681.284,14
麒,1.6346,1,鹿,38.3309,7,其,1622.6914,13
麟,6.5086,2,鹿,38.3309,7,粦,14.5037,5
铰,0.2469,1,钅,3731.8272,120,交,676.4988,16
戗,0.15310000000000001,1,戈,29970.7358,17,仓,653.9407,10
噢,226.5827,0,口,50016.563,297,奧,272.7457,3
蟥,0.0543,1,虫,1653.4963,97,黄,55.8914,6
増,0.237,0,土,17088.4346,84,曽,0.237,1
侥,2.0099,1,亻,51543.5654,164,尧,310.7951,12
螳,1.3531,1,虫,1653.4963,97,堂,142.0741,6
鲣,0.0642,1,鱼,641.842,32,坚,0.963,2
祺,1.5753,0,礻,4131.121,25,其,1622.6914,13
姝,0.3753,0,女,18584.642,96,朱,142.1975,9
辍,0.8099,1,车,3498.0049,32,叕,7.837,4
煨,0.9235,0,火,3108.6963,70,畏,113.758,4
瞑,4.9531,1,目,12024.3309,58,冥,38.9333,2
芙,13.9012,1,艹,9164.7556,191,夫,186.4691,4
沮,8.7457,1,氵,19088.7556,238,且,1299.7877,15
窈,6.1827,1,穴,1620.3358,24,幼,31.1407,5
窕,1.7728,1,穴,1620.3358,24,兆,668.963,8
椽,0.0543,1,木,23327.0765,210,彖,0.0741,2
鹉,2.6321,2,鸟,608.1975,42,武,18.9877,2
谄,0.6914,1,讠,19842.7358,108,臽,104.6469,6
渝,12.8444,4,氵,19088.7556,238,俞,434.2568,11
喋,10.884,1,口,50016.563,297,枼,101.5259,5
焗,2.237,0,火,3108.6963,70,局,2.237,1
惋,1.9654,1,忄,9431.3086,100,宛,93.8568,7
佰,2.1432,0,亻,51543.5654,164,百,55.1852,2
鼹,0.6519,1,鼠,69.3037,4,晏,0.6519,1
趟,28.642,0,走,6645.7432,14,尚,1084.9827,12
辕,1.5556,2,车,3498.0049,32,袁,4.479,2
琥,2.9037,1,王,7173.763,52,虎,7.0667,2
珀,6.0346,1,王,7173.763,52,白,887.2938,14
铄,0.1926,1,钅,3731.8272,120,乐,5.3926,4
腼,1.3877,1,月,21151.9802,115,面,6.7062,3
腆,1.6494,1,月,21151.9802,115,典,2.5383,2
讧,0.4543,1,讠,19842.7358,108,工,2306.0642,14
楠,5.6543,1,木,23327.0765,210,南,10.8099,3
蝙,5.6938,1,虫,1653.4963,97,扁,479.8815,9
蝠,5.7136,1,虫,1653.4963,97,畐,1444.242,8
砭,0.2123,1,石,1850.5235,61,乏,33.6494,4
焕,5.7877,5,火,3108.6963,70,奂,503.4765,5
艘,10.8346,0,舟,520.5333,12,叟,182.1679,8
涅,5.6148,1,氵,19088.7556,238,圼,36.1481,2
琶,1.8864,1,王,7173.763,52,巴,5324.5086,12
绷,5.0272,2,纟,11417.6494,100,朋,70.558,5
嘤,5.2494,1,口,50016.563,297,婴,32.6469,5
汹,3.7679,4,氵,19088.7556,238,凶,8.9481,3
婀,0.4346,2,女,18584.642,96,阿,3243.2099,3
娜,114.0642,3,女,18584.642,96,那,4446.2765,4
骼,2.1877,3,骨,380.6815,11,各,2410.8593,18
笙,1.9309,0,⺮,5914.6074,56,生,1495.2988,6
檬,20.2222,7,木,23327.0765,210,蒙,28.6123,2
阮,1.5111,0,阝,12852.079,66,元,3458.2914,7
蓟,0.5531,0,艹,9164.7556,191,魝,0.5531,1
很,3133.5062,2,彳,11952.2173,29,艮,5566.3062,16
嘿,289.5852,1,口,50016.563,297,黑,424.2519,2
婪,6.0642,1,女,18584.642,96,林,154.4593,6
噼,4.2074,2,口,50016.563,297,辟,263.5901,10
茗,1.9901,1,艹,9164.7556,191,名,64.8099,3
吋,0.5827,0,口,50016.563,297,寸,117.0173,3
痣,3.1012,1,疒,1856.2963,68,志,3.1012,1
圾,46.3753,9,土,17088.4346,84,及,1055.7827,6
锑,0.1333,0,钅,3731.8272,120,弟,179.6148,9
叼,15.9901,0,口,50016.563,297,刁,15.9901,1
髋,0.6173,2,骨,380.6815,11,宽,0.6173,1
缨,0.5333,1,纟,11417.6494,100,婴,32.6469,5
磐,1.3827,1,石,1850.5235,61,般,55.5654,4
籁,2.958,2,⺮,5914.6074,56,赖,99.0074,5
踊,1.2198,1,足,2994.2815,62,甬,1245.5753,11
忾,0.1086,0,忄,9431.3086,100,气,73.363,2
隅,1.2593,1,阝,12852.079,66,禺,594.5383,6
讴,0.321,1,讠,19842.7358,108,区,148.5086,14
轱,0.3901,3,车,3498.0049,32,古,1063.2346,14
筝,5.3136,1,⺮,5914.6074,56,争,446.9975,8
徐,29.4519,1,彳,11952.2173,29,余,522.6765,8
匣,1.521,4,匚,49.5259,6,甲,81.916,8
蛭,0.479,1,虫,1653.4963,97,至,184.4,5
仃,0.563,2,亻,51543.5654,164,丁,1953.1259,12
蒡,0.3407,1,艹,9164.7556,191,旁,147.037,10
盹,2.3506,1,目,12024.3309,58,屯,279.8765,9
锂,0.7358,0,钅,3731.8272,120,里,926.5481,9
筵,0.5679,2,⺮,5914.6074,56,延,98.9728,4
泱,0.5778,0,氵,19088.7556,238,央,449.4074,7
皋,0.6173,0,白,33709.0272,11,夲,0.6173,1
栌,0.0247,1,木,23327.0765,210,卢,3.7531,5
撺,0.1037,1,扌,19245.0025,233,窜,1.4519,2
讣,0.558,2,讠,19842.7358,108,卜,324.0148,6
稞,0.3457,2,禾,3095.6593,38,果,308.9235,8
馅,16.1679,7,饣,1257.0617,27,臽,104.6469,6
钾,2.1877,7,钅,3731.8272,120,甲,81.916,8
嗔,1.4815,0,口,50016.563,297,真,170.6123,6
狈,5.5704,2,犭,1997.2346,39,贝,196.3802,4
鹧,0.2716,1,鸟,608.1975,42,庶,1263.1012,4
鸪,0.2617,1,鸟,608.1975,42,古,1063.2346,14
坩,0.079,1,土,17088.4346,84,甘,9.2444,9
埚,0.0543,1,土,17088.4346,84,呙,278.3309,8
鲲,0.1778,0,鱼,641.842,32,昆,173.7086,4
谁,846.0148,4,讠,19842.7358,108,隹,3055.7531,15
幔,0.30620000000000003,1,巾,5269.7481,32,曼,388.637,7
谀,0.8296,1,讠,19842.7358,108,臾,1.284,3
檐,2.6469,4,木,23327.0765,210,詹,7.2593,5
恸,0.4444,1,忄,9431.3086,100,动,0.4444,1
盅,1.6296,0,皿,839.1062,18,中,1878.0988,9
偌,1.5753,1,亻,51543.5654,164,若,162.6765,4
喵,21.7284,0,口,50016.563,297,苗,255.9901,6
膈,0.4395,2,月,21151.9802,115,鬲,85.2889,4
馍,2.6025,0,饣,1257.0617,27,莫,681.284,14
膘,1.3926,1,月,21151.9802,115,票,297.3926,9
燻,0.0938,0,火,3108.6963,70,熏,18.7012,4
晾,5.2296,1,日,29708.8296,72,京,676.9185,7
莨,0.1086,1,艹,9164.7556,191,良,1050.8198,11
菪,0.084,1,艹,9164.7556,191,宕,0.084,1
榷,0.2667,1,木,23327.0765,210,隺,11.7432,2
螃,7.121,1,虫,1653.4963,97,旁,147.037,10
跺,1.4519,1,足,2994.2815,62,朵,58.316,4
褴,0.1926,1,衤,1737.6593,32,监,182.2272,6
褛,0.2272,1,衤,1737.6593,32,娄,722.2716,13
祗,0.3753,0,礻,4131.121,25,氐,684.6815,9
踱,0.5037,1,足,2994.2815,62,度,25.3284,3
嬗,0.2272,1,女,18584.642,96,亶,31.9704,4
泠,0.3704,0,氵,19088.7556,238,令,1249.5654,16
俺,55.8123,2,亻,51543.5654,164,奄,110.321,8
碾,3.2049,2,石,1850.5235,61,展,10.1432,2
胥,0.8691,0,月,21151.9802,115,疋,116.8593,2
桅,0.4148,2,木,23327.0765,210,危,76.6568,4
猾,3.2395,1,犭,1997.2346,39,骨,83.4765,2
氮,1.0815,3,气,1142.9185,14,炎,478.7654,5
腑,2.5136,3,月,21151.9802,115,府,71.3975,3
匍,0.558,1,勹,789.0864,9,甫,176.9333,10
匐,0.5185,1,勹,789.0864,9,畐,1444.242,8
咻,2.2173,0,口,50016.563,297,休,2.2173,1
韩,199.4519,12,韦,231.7778,4,韦,582.8593,7
忸,0.0889,1,忄,9431.3086,100,丑,135.0765,5
怩,0.0988,1,忄,9431.3086,100,尼,1219.2988,6
汝,2.6864,0,氵,19088.7556,238,女,2.8741,2
浚,0.4296,1,氵,19088.7556,238,夋,167.7432,11
掐,23.7432,0,扌,19245.0025,233,臽,104.6469,6
嘻,65.7778,3,口,50016.563,297,喜,81.3679,5
醚,0.2074,1,酉,1758.6815,30,迷,11.2494,2
傅,30.7259,3,亻,51543.5654,164,尃,2305.4617,4
娣,0.6074,0,女,18584.642,96,弟,179.6148,9
泔,0.2074,1,氵,19088.7556,238,甘,9.2444,9
撷,0.3309,2,扌,19245.0025,233,颉,0.3309,1
祢,2.163,0,礻,4131.121,25,尔,15873.0272,5
埔,3.7432,0,土,17088.4346,84,甫,176.9333,10
趴,25.8123,1,足,2994.2815,62,八,43.3432,3
岑,0.8988,0,山,1569.0568,42,今,475.5951,8
骷,3.0765,1,骨,380.6815,11,古,1063.2346,14
髅,3.0519,2,骨,380.6815,11,娄,722.2716,13
檀,1.9506,3,木,23327.0765,210,亶,31.9704,4
闵,2.3901,0,门,3881.6296,28,文,147.5654,10
诿,0.479,1,讠,19842.7358,108,委,42.7951,6
葚,0.3358,1,艹,9164.7556,191,甚,54.963,5
芮,1.9358,1,艹,9164.7556,191,内,113.5704,4
鏖,0.4642,1,金,780.7111,4,鹿,4.2519,4
喳,2.5037,3,口,50016.563,297,查,28.4444,4
柒,1.2889,0,木,23327.0765,210,七,556.5778,2
珉,3.116,0,王,7173.763,52,民,214.8938,5
栀,0.3506,1,木,23327.0765,210,卮,0.3506,1
匡,1.7235,1,匚,49.5259,6,王,274.8198,5
鸸,0.0395,1,鸟,608.1975,42,而,9.837,2
鹋,0.0296,1,鸟,608.1975,42,苗,255.9901,6
芫,0.2222,1,艹,9164.7556,191,元,3458.2914,7
槃,0.9481,0,木,23327.0765,210,般,55.5654,4
茜,12.963,0,艹,9164.7556,191,西,177.679,6
钒,0.0988,0,钅,3731.8272,120,凡,709.9704,5
蹂,1.7679,1,足,2994.2815,62,柔,12.9284,3
躏,1.7235,1,足,2994.2815,62,蔺,1.7235,1
阂,1.1457,1,门,3881.6296,28,亥,2016.8395,10
刎,0.2568,1,刂,10927.3679,39,勿,799.7086,5
镌,0.4148,1,钅,3731.8272,120,隽,23.9605,2
砺,2.0691,1,石,1850.5235,61,历,15.1111,4
烯,1.2444,8,火,3108.6963,70,希,42.9333,3
俑,2.0247,3,亻,51543.5654,164,甬,1245.5753,11
稼,1.7531,4,禾,3095.6593,38,家,70.3802,2
遛,5.1951,1,辶,28384.0494,81,留,59.5062,6
唔,239.4519,0,口,50016.563,297,吾,312.1975,10
啰,8.3654,0,口,50016.563,297,罗,98.4593,6
慵,2.9284,1,忄,9431.3086,100,庸,2.9284,1
砰,3.3877,1,石,1850.5235,61,平,348.3951,7
锌,2.0296,0,钅,3731.8272,120,辛,2.0296,1
茬,4.8296,3,艹,9164.7556,191,在,4.8296,1
鲫,1.7481,1,鱼,641.842,32,即,8.5383,2
潍,1.6444,1,氵,19088.7556,238,维,1.6444,1
氪,1.4815,0,气,1142.9185,14,克,1.4815,1
镁,2.3605,2,钅,3731.8272,120,美,2.3605,1
醺,2.8049,2,酉,1758.6815,30,熏,18.7012,4
哒,13.6049,1,口,50016.563,297,达,17.6741,3
屌,6.1679,0,尸,2394.4642,27,吊,6.1679,1
鲈,1.0123,1,鱼,641.842,32,卢,3.7531,5
葆,1.0963,2,艹,9164.7556,191,保,61.363,5
鳕,0.9531,1,鱼,641.842,32,雪,0.9531,1
挝,0.6914,1,扌,19245.0025,233,过,0.6914,1
仨,5.0963,0,亻,51543.5654,164,三,6.479,2
鲶,0.6321,1,鱼,641.842,32,念,4.479,4
榕,1.8173,1,木,23327.0765,210,容,28.158,4
噻,4.6864,0,口,50016.563,297,塞,261.0025,2
钚,0.5136,0,钅,3731.8272,120,不,238.2765,2
蝈,0.5877,1,虫,1653.4963,97,国,2.884,3
髻,0.6074,1,髟,8.3704,5,吉,833.2889,8
禧,4.8889,1,礻,4131.121,25,喜,81.3679,5
摞,4.1136,1,扌,19245.0025,233,累,20.6074,3
嚯,1.5704,0,口,50016.563,297,霍,1.8914,2
鳟,0.4543,1,鱼,641.842,32,尊,34.8198,4
镍,0.4543,0,钅,3731.8272,120,臬,0.4543,1
铬,0.4296,0,钅,3731.8272,120,各,2410.8593,18
菏,0.563,1,艹,9164.7556,191,河,0.563,1
酯,0.8938,3,酉,1758.6815,30,旨,388.6617,5
麂,0.4247,1,鹿,38.3309,7,几,1575.4617,7
嫔,0.9926,1,女,18584.642,96,宾,65.1358,9
唛,0.6222,0,口,50016.563,297,麦,0.6222,1
铀,0.3951,2,钅,3731.8272,120,由,930.6568,14
桉,0.4296,1,木,23327.0765,210,安,433.4617,8
颞,0.316,0,页,3263.0321,33,聂,98.484,5
鳝,1.2049,1,鱼,641.842,32,善,5.1852,3
榆,1.7284,1,木,23327.0765,210,俞,434.2568,11
怦,1.5654,2,忄,9431.3086,100,平,348.3951,7
藓,0.3556,1,艹,9164.7556,191,鲜,0.9185,2
噙,0.2864,0,口,50016.563,297,禽,4.5284,2
杈,0.4494,1,木,23327.0765,210,叉,3.2099,3
晙,0.2173,0,日,29708.8296,72,夋,167.7432,11
铉,1.279,0,钅,3731.8272,120,玄,66.9877,5
飨,0.3012,0,食,717.1111,5,乡,0.3012,1
蔫,0.9383,0,艹,9164.7556,191,焉,0.9383,1
鲱,0.2321,1,鱼,641.842,32,非,1368.5778,18
镭,0.9728,0,钅,3731.8272,120,雷,34.0593,3
汨,0.3951,1,氵,19088.7556,238,日,0.3951,1
吔,0.3951,0,口,50016.563,297,也,8287.4519,8
饽,0.484,1,饣,1257.0617,27,孛,80.9086,4
涝,0.4198,1,氵,19088.7556,238,劳,38.5531,4
钴,0.2074,1,钅,3731.8272,120,古,1063.2346,14
挎,3.1012,0,扌,19245.0025,233,夸,46.7062,5
嘁,0.242,0,口,50016.563,297,戚,0.5086,2
鲮,0.15310000000000001,1,鱼,641.842,32,夌,146.5185,5
