simp,freq,famsize,semrad,semfreq,semfamsize,phon,phonfreq,phonfam
侩,0.3259,1,亻,51543.5654,164,会,38.958,6
涟,6.4198,1,氵,19088.7556,238,连,123.6247,4
漪,5.9753,1,氵,19088.7556,238,猗,5.9753,1
惫,16.7951,2,心,19695.9012,59,备,16.7951,1
晌,0.7506,1,日,29708.8296,72,向,212.5975,3
肪,18.2173,3,月,21151.9802,115,方,2059.4617,12
钜,0.2815,0,钅,3731.8272,120,巨,190.7654,6
粽,6.2963,1,米,2111.0864,32,宗,272.4494,6
钡,0.163,1,钅,3731.8272,120,贝,196.3802,4
诟,0.3012,1,讠,19842.7358,108,后,12.237,3
噎,2.3654,3,口,50016.563,297,壹,2.3654,1
芸,3.2543,3,艹,9164.7556,191,云,907.0519,6
镣,0.4593,2,钅,3731.8272,120,尞,14.1679,8
猝,1.1753,3,犭,1997.2346,39,卒,142.0988,8
鹈,0.1185,1,鸟,608.1975,42,弟,179.6148,9
眷,10.721,6,目,12024.3309,58,卷,224.7605,7
耘,131.7086,1,耒,293.363,6,云,907.0519,6
蟹,83.8963,5,虫,1653.4963,97,解,109.3778,3
骶,0.1185,1,骨,380.6815,11,氐,684.6815,9
鹌,1.1753,1,鸟,608.1975,42,奄,110.321,8
鹑,1.2049,1,鸟,608.1975,42,享,72.7605,6
蝗,0.716,2,虫,1653.4963,97,皇,47.1802,5
蝴,21.8815,4,虫,1653.4963,97,胡,232.5827,8
坞,14.0938,1,土,17088.4346,84,乌,65.7531,3
癣,0.563,3,疒,1856.2963,68,鲜,0.9185,2
囫,0.2025,2,囗,7478.8593,24,勿,799.7086,5
囵,0.8247,2,囗,7478.8593,24,仑,597.3037,8
擢,0.0741,0,扌,19245.0025,233,翟,77.4469,3
鹄,0.1827,1,鸟,608.1975,42,告,616.8889,8
幌,1.3877,2,巾,5269.7481,32,晃,1.3877,1
呎,0.4,0,口,50016.563,297,尺,87.842,2
郁,90.9728,13,阝,12852.079,66,有,96.7556,2
碉,7.0272,1,石,1850.5235,61,周,348.8938,7
